candidate,t_coh_mode_active,D,eta,t_coh_profile,t_coh_candidate,R3_profile,R3_candidate,delta_R3,winner_profile,winner_candidate,mu_mumu_profile,mu_mumu_candidate,delta_mu_mumu,chi2_profile,chi2_candidate,accept_profile,accept_candidate
uniform_dephasing_profile,dephasing_profile,4.0,0.2,1.0,40.56922330848882,0.9499616413105525,0.9672017856823516,0.017240144371799104,2,2,1.3909698534688104,2.36300248486853,0.9720326313997196,0.0005096471648422107,5.7960861616435215,True,False
uniform_dephasing_profile,dephasing_profile,4.0,0.39,1.0,40.56922330848882,0.950571616683221,0.974619737781635,0.024048121098414033,2,2,1.4121146224319543,3.3211525680404104,1.909037945608456,0.0009172754791800766,23.06766993555165,True,False
uniform_dephasing_profile,dephasing_profile,4.0,0.5800000000000001,1.0,40.56922330848882,0.9511690984351115,0.9782336431431947,0.02706454470808317,2,2,1.4334108638302216,4.091100792716535,2.657689928886313,0.00697678638676012,45.26264672849727,True,False
uniform_dephasing_profile,dephasing_profile,4.0,0.77,1.0,40.56922330848882,0.9517543419230916,0.9802102189918647,0.02845587706877306,2,2,1.4548558292020022,4.615644489016467,3.1607886598144646,0.018807262483995283,64.62730924838735,True,False
uniform_dephasing_profile,dephasing_profile,4.0,0.96,1.0,40.56922330848882,0.9523275980310238,0.981432243109302,0.029104645078278146,2,2,1.4764466989349914,4.936720985522772,3.4602742865877807,0.036525611112857646,78.1774708089823,True,False
uniform_dephasing_profile,dephasing_profile,4.0,1.15,1.0,40.56922330848882,0.9528891132077972,0.9822760943359468,0.029386981128149525,2,2,1.4981805837846593,5.120942826127457,3.622762242342798,0.06024641895185332,86.53384697068368,True,False
uniform_dephasing_profile,dephasing_profile,4.0,1.34,1.0,40.56922330848882,0.9534391295071385,0.9829122815900411,0.029473152082902576,2,2,1.5200545264631065,5.222695737413083,3.702641210949977,0.09008180827675469,91.33126688022598,True,False
uniform_dephasing_profile,dephasing_profile,4.0,1.53,1.0,40.56922330848882,0.9539778846290824,0.983423190930341,0.029445306301258634,2,2,1.5420655032963912,5.27760655802384,3.735541054727449,0.1261412951678561,93.97395386768433,True,False
uniform_dephasing_profile,dephasing_profile,4.0,1.72,1.0,40.56922330848882,0.9545056119629647,0.9838513184808759,0.02934570651791124,2,2,1.5642104259482772,5.306750440529643,3.742540014581366,0.16853164993821662,95.39186877861601,True,False
uniform_dephasing_profile,dephasing_profile,4.0,1.91,1.0,40.56922330848882,0.9550225406318269,0.9842201283511383,0.029197587719311358,2,2,1.5864861432083497,5.321968375963624,3.735482232755274,0.21735676005453214,96.13647463786717,True,False
