D,level,t_coh_deph
4.0,fine,40.57524634454485
5.0,fine,84.38477309217149
6.0,fine,173.5931454877395
7.0,fine,355.1048340682942
8.0,fine,724.2875759301652
9.0,fine,1474.8167729369245
10.0,fine,2999.762901354639
11.0,fine,6096.523998663687
12.0,fine,12382.202989405008
13.0,fine,25135.174712784956
14.0,fine,50999.684987980334
15.0,fine,103439.84283475824
16.0,fine,209735.70845801613
17.0,fine,425147.2882993507
18.0,fine,861502.6934729923
19.0,fine,1745582.2859012247
20.0,fine,3538420.644161709
