D,level,rel_delta_omega12_vs_fine,rel_tcoh_vs_fine
6.0,coarse,0.0012397025150677967,0.0012412412850104817
6.0,mid,0.00031281097991151636,0.00031290886123897893
6.0,fine,0.0,0.0
12.0,coarse,0.004976377466741746,0.00500126565243972
12.0,mid,0.0012560269122684677,0.0012576064998774236
12.0,fine,0.0,0.0
18.0,coarse,0.008778100898945148,0.00885583834145116
18.0,mid,0.0022181985237377517,0.0022231298671272115
18.0,fine,0.0,0.0
