D,level,Nz,zmax,E1,E2,omega1,omega2,delta_omega12,t_coh_deph,stable1,stable2
4.0,fine,8001,80.0,-0.5050527899604221,-0.3900972960954422,0.7035248467819583,0.7809626776642773,0.07743783088231904,40.56922330848882,True,True
5.0,fine,8001,80.0,-0.4873675878292349,-0.4326184741685237,0.7159835278627331,0.7532473204940567,0.03726379263132362,84.30684135326037,True,True
6.0,fine,8001,80.0,-0.4794374275180444,-0.45294840099174416,0.721500223480184,0.7396293659720765,0.018129142491892458,173.28964428376833,True,True
7.0,fine,8001,80.0,-0.476340921005037,-0.46342458054596875,0.7236429223000547,0.7325130848346884,0.008870162534633685,354.1753199361789,True,True
8.0,fine,8001,80.0,-0.475562053017093,-0.4692386181949072,0.7241808800174905,0.72853372043104,0.004352840413549552,721.7339380995043,True,True
9.0,fine,8001,80.0,-0.4758263322484381,-0.4727234393791026,0.7239983893293975,0.7261381140119952,0.00213972468259771,1468.2228415366858,True,True
10.0,fine,8001,80.0,-0.47650805348539144,-0.47498316095827714,0.7235274331458404,0.7245804572590424,0.0010530241132019613,2983.4004883677926,True,True
11.0,fine,8001,80.0,-0.47731310003093336,-0.47656286568791995,0.7229708845929181,0.7234895536993469,0.0005186691064287263,6057.026752993047,True,True
12.0,fine,8001,80.0,-0.4781115780400631,-0.47774214229939793,0.7224184535018031,0.7226741019993743,0.00025564849757120367,12288.719407454335,True,True
13.0,fine,8001,80.0,-0.47885218960482334,-0.47867013640839906,0.7219056797083513,0.7220317607914495,0.0001260810830981951,24917.240369382314,True,True
14.0,fine,8001,80.0,-0.4795197351056214,-0.47942996604832155,0.721443182027787,0.7215053942637425,6.221223595548331e-05,50497.986534960684,True,True
15.0,fine,8001,80.0,-0.48011460444339893,-0.4800703163785478,0.721030786829939,0.7210614978082328,3.0710978293768676e-05,102295.42750278421,True,True
16.0,fine,8001,80.0,-0.4806431713987175,-0.4806213114648926,0.7206641579829557,0.7206793243427394,1.5166359783713723e-05,207142.16848286614,True,True
17.0,fine,8001,80.0,-0.48111347069050814,-0.4811026765295795,0.7203377883392568,0.720345280730304,7.4923910472479704e-06,419304.4161441268,True,True
18.0,fine,8001,80.0,-0.48153337700574683,-0.48152804504454294,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,848504.9999919219,True,True
19.0,fine,8001,80.0,-0.4819099360235781,-0.4819073013532337,0.7197847344702595,0.7197865646473032,1.8301770436934817e-06,1716551.228972768,True,True
20.0,fine,8001,80.0,-0.48224920366359203,-0.48224790141723367,0.7195490228861463,0.7195499277901196,9.049039733088904e-07,3471741.473409804,True,True
