D,n_bound_single_track,E1_single_track,omega1_single_track,supports_N4_bound
6.0,2,-0.24101647798178133,0.8711966035391888,0
8.0,3,-0.46425885523950094,0.7319434027030363,0
10.0,3,-0.562102042077581,0.661738587300468,0
12.0,1,-0.9205263084737675,0.2819107864666276,0
14.0,2,-0.4148507832469811,0.76495046686241,0
16.0,3,-0.21053940592836176,0.8885159503754777,0
18.0,3,-0.07239888153241779,0.9631205108747203,0
20.0,1,-0.3388510660320452,0.8131106529667133,0
