D,algo,S_fine_rho4,S_fine_rho1,S_fine_rho2,rel_window_rho1,rel_window_rho2,S_mid_rho4,S_coarse_rho4,rel_mid,rel_coarse,Sz_grid_fine_rho4,rel_Szgrid,Sz_v3p1,rel_Szv3p1,omega1_est,C_star,Smin_used,DeltaE_pred,tcoh_geom,log10_tcoh_geom
6,dijkstra24,4.292275521661055,4.292275521661055,4.292275521661055,0.0,0.0,4.2888680478797365,4.282656663385512,-0.0007938618488311042,-0.0022409694408015053,4.296433425735588,0.0009686945895131411,4.281585,-0.002490641993298234,0.721500223480184,1.829255651765622,4.292275521661055,0.025012830013380952,181.23977178401321,2.258253506646598
6,fmm,4.295840270917376,4.295840270917376,4.295840270917376,0.0,0.0,4.292214166996555,4.292642487872333,-0.0008440965427344934,-0.0007443905833026375,4.296433425735588,0.0001380765533177526,4.281585,-0.0033183894228757684,0.721500223480184,1.829255651765622,4.295840270917376,0.024923824282002516,181.88699904175573,2.2598016575779867
12,dijkstra24,8.517914193789343,8.517914193789343,8.517914193789343,0.0,0.0,8.514458914745989,8.508771756297998,-0.00040564849149029377,-0.0010733188059127373,8.521962141516434,0.00047522757743237876,8.507335,-0.0012419934679615782,0.7224184535018031,1.829255651765622,8.517914193789343,0.00036558744588992124,12415.87768865743,4.093977425611698
12,fmm,8.521138460915115,8.521138460915115,8.521138460915115,0.0,0.0,8.517628457865927,8.518147250184839,-0.00041191714760740593,-0.00035103416568053316,8.521962141516434,9.666321056720714e-05,8.507335,-0.0016199080649175128,0.7224184535018031,1.829255651765622,8.521138460915115,0.000364410592570815,12455.974401446243,4.095377707032602
