D,level,dr,dz,rho_max,PAD,Smin_dijkstra24,Smin_fmm,Sz_grid
6,coarse,0.04,0.02,4.0,1.0,4.282656663385512,4.292642487872333,4.29382879749507
6,mid,0.03,0.015,4.0,1.0,4.2888680478797365,4.292214166996555,4.296913020115184
6,fine,0.02,0.01,1.0,1.0,4.292275521661055,4.295840270917376,4.296433425735588
6,fine,0.02,0.01,2.0,1.0,4.292275521661055,4.295840270917376,4.296433425735588
6,fine,0.02,0.01,4.0,1.0,4.292275521661055,4.295840270917376,4.296433425735588
12,coarse,0.04,0.02,4.0,1.0,8.508771756297998,8.518147250184839,8.519794611282308
12,mid,0.03,0.015,4.0,1.0,8.514458914745989,8.517628457865927,8.52236426945442
12,fine,0.02,0.01,1.0,1.0,8.517914193789343,8.521138460915115,8.521962141516434
12,fine,0.02,0.01,2.0,1.0,8.517914193789343,8.521138460915115,8.521962141516434
12,fine,0.02,0.01,4.0,1.0,8.517914193789343,8.521138460915115,8.521962141516434
