D,level,dr,dz,rho_max,PAD,Smin_dijkstra24,t_dijkstra,Smin_fmm,t_fmm,Sz_grid,Sz_v3p1
6,coarse,0.04,0.02,4.0,1.0,4.282656663385512,0.9942312240600586,4.292642487872333,1.457611083984375,4.29382879749507,4.2815845049986905
6,fine,0.02,0.01,1.0,1.0,4.292275521661055,1.2765748500823975,4.295840270917376,1.788212776184082,4.296433425735588,4.2815845049986905
6,fine,0.02,0.01,2.0,1.0,4.292275521661055,2.10978627204895,4.295840270917376,3.2785329818725586,4.296433425735588,4.2815845049986905
6,fine,0.02,0.01,4.0,1.0,4.292275521661055,4.550694465637207,4.295840270917376,6.697834730148315,4.296433425735588,4.2815845049986905
6,mid,0.03,0.015,4.0,1.0,4.2888680478797365,1.8194749355316162,4.292214166996555,3.1139180660247803,4.296913020115184,4.2815845049986905
12,coarse,0.04,0.02,4.0,1.0,8.508771756297998,1.9822118282318115,8.518147250184839,3.041069507598877,8.519794611282308,8.507335077563498
12,fine,0.02,0.01,1.0,1.0,8.517914193789343,2.3817214965820312,8.521138460915115,3.335423469543457,8.521962141516434,8.507335077563498
12,fine,0.02,0.01,2.0,1.0,8.517914193789343,4.37055778503418,8.521138460915115,6.455978870391846,8.521962141516434,8.507335077563498
12,fine,0.02,0.01,4.0,1.0,8.517914193789343,8.591951131820679,8.521138460915115,12.684265851974487,8.521962141516434,8.507335077563498
12,mid,0.03,0.015,4.0,1.0,8.514458914745989,3.703756809234619,8.517628457865927,5.7124550342559814,8.52236426945442,8.507335077563498
