D,algo,S_fine_rho4,S_fine_rho1,S_fine_rho2,rel_window_rho1,rel_window_rho2,S_mid_rho4,S_coarse_rho4,rel_mid,rel_coarse,Sz_grid_fine_rho4,rel_Szgrid,Sz_v3p1,rel_Szv3p1
6,dijkstra24,4.292275521661055,4.292275521661055,4.292275521661055,0.0,0.0,4.2888680478797365,4.282656663385512,-0.0007938618488311042,-0.0022409694408015053,4.296433425735588,-0.0009677571284188789,4.2815845049986905,0.002496976679984424
12,dijkstra24,8.517914193789343,8.517914193789343,8.517914193789343,0.0,0.0,8.514458914745989,8.508771756297998,-0.00040564849149029377,-0.0010733188059127373,8.521962141516434,-0.00047500184345703676,8.507335077563498,0.0012435288053652992
6,fmm,4.295840270917376,4.295840270917376,4.295840270917376,0.0,0.0,4.292214166996555,4.292642487872333,-0.0008440965427344934,-0.0007443905833026375,4.296433425735588,-0.00013805749081526112,4.2815845049986905,0.0033295537906683523
12,fmm,8.521138460915115,8.521138460915115,8.521138460915115,0.0,0.0,8.517628457865927,8.518147250184839,-0.00041191714760740593,-0.00035103416568053316,8.521962141516434,-9.665386769404209e-05,8.507335077563498,0.0016225272927147653
