D,omega1,Sz1,deltaS_corr,Smin_est,C_star,tcoh_geom,log10_tcoh_geom
4.0,0.7035248467819583,2.923562932085209,0.01460648677351177,2.938169418858721,1.829255651765622,45.62634379844086,1.6592156686021386
4.5,0.7109607069348144,3.259335347292937,0.014483934329868829,3.273819281622806,1.829255651765622,64.49895978956535,1.809552710584188
5.0,0.7159835278627331,3.603308588888996,0.014385892374954476,3.6176944812639507,1.829255651765622,91.61218557882601,1.9619532441664012
5.5,0.7193281066344175,3.9451070534396906,0.014305676230024551,3.9594127296697152,1.829255651765622,129.53394518203405,2.1123835929225385
6.0,0.721500223480184,4.2815845049986905,0.014238829442582947,4.295823334441273,1.829255651765622,181.88391854302958,2.2597943021598725
6.5,0.7228547504755374,4.63840509774966,0.014182266776286206,4.652587364525946,1.829255651765622,260.3451678202691,2.415549521291649
7.0,0.7236429223000547,4.978414976402545,0.014133784490888998,4.992548760893435,1.829255651765622,366.1560033906173,2.563666159101148
7.5,0.7240429447061186,5.337979185875568,0.014091766510211419,5.3520709523857795,1.829255651765622,524.8614431197417,2.720044670205034
8.0,0.7241808800174905,5.680402024647233,0.014055000777118536,5.694457025424351,1.829255651765622,739.3052337517714,2.868823780702412
8.5,0.7241453983712878,6.041719763269152,0.014022560424389522,6.055742323693542,1.829255651765622,1060.9788171016094,3.025706713111785
9.0,0.7239983893293975,6.385546857447112,0.013993724555297066,6.399540582002409,1.829255651765622,1495.9883943093234,3.174928224339291
9.5,0.7237826471334947,6.747814751121206,0.01396792404084592,6.761782675162052,1.829255651765622,2148.4167668014293,3.3321185330634164
10.0,0.7235274331458404,7.092334101043687,0.01394470357783989,7.106278804621527,1.829255651765622,3030.9455672902186,3.481578136949026
10.5,0.7232524844527901,7.455015428675001,0.013923694587501098,7.468939123262502,1.829255651765622,4354.260862174682,3.6389144439079515
11.0,0.7229708845929181,7.799786108783319,0.013904595505374926,7.813690704288694,1.829255651765622,6144.25210285367,3.788469026787783
11.5,0.7226911060637983,8.162561555160705,0.013887157212998855,8.176448712373704,1.829255651765622,8827.642364287876,3.9458447302029724
12.0,0.7224184535018031,8.507335077563498,0.013871172111654125,8.521206249675153,1.829255651765622,12456.818805126202,4.0954071473170215
12.5,0.7221560771588624,8.87003179182232,0.013856465818416971,8.883888257640738,1.829255651765622,17896.17349073062,4.252760181286481
13.0,0.7219056797083513,9.214680542091068,0.013842890778505753,9.228523432869574,1.829255651765622,25251.240865716853,4.402282724549428
13.5,0.7216680063618119,9.57721473089094,0.013830321297106478,9.591045052188047,1.829255651765622,36272.7812559761,4.559580856871145
14.0,0.721443182027787,9.921681378443264,0.01381864963580715,9.93550002807907,1.829255651765622,51172.94760952187,4.709040433459925
14.5,0.7212309418141971,10.2840197101448,0.013807782916666397,10.297827493061467,1.829255651765622,73496.97572046691,4.866269468949021
15.0,0.721030786829939,10.628285367108806,0.01379764064546836,10.642083007754273,1.829255651765622,103670.97854345375,5.015657197831468
15.5,0.7208420886504938,10.990421367056816,0.013788152714347615,11.004209519771164,1.829255651765622,148872.01661503955,5.17281307134653
16.0,0.7206641579829557,11.334486880761675,0.013779257778921918,11.348266138540597,1.829255651765622,209955.73840677814,5.322127749058937
16.5,0.7204962892474718,11.696427342301526,0.013770901930491719,11.710198244232018,1.829255651765622,301447.50294371863,5.4792116907150366
17.0,0.7203377883392568,12.040302833865445,0.013763037602557412,12.054065871468001,1.829255651765622,425065.59404197737,5.628455953420585
17.5,0.7201879894979479,12.402060356443808,0.01375562266479078,12.415815979108599,1.829255651765622,610199.3002757409,5.7854717052949844
18.0,0.720046264481841,12.745759620617829,0.013748619668011183,12.75950824028584,1.829255651765622,860299.9250112195,5.9346498850450615
18.5,0.7199120271227183,13.107348697678209,0.013741995211598051,13.121090692889807,1.829255651765622,1234815.7959837485,6.091602176418011
19.0,0.7197847344702595,13.450886346989776,0.01373571941078561,13.464622066400562,1.829255651765622,1740680.8796491474,6.240719158876797
19.5,0.7196638862510847,13.812321429884523,0.01372976544591227,13.826051195330436,1.829255651765622,2498117.7959979502,6.397612913199737
20.0,0.7195490228861463,14.155711535384237,0.013724109179282596,14.169435644563519,1.829255651765622,3521061.1112792194,6.546673562718873
