candidate,gamma_eta_mode_active,D,eta,eta_eff_baseline,eta_eff_candidate,R3_baseline,R3_candidate,delta_R3,winner_baseline,winner_candidate,mu_mumu_baseline,mu_mumu_candidate,delta_mu_mumu,chi2_baseline,chi2_candidate,accept_baseline,accept_candidate
eta_scaled_amp_profile,scaled_amp,4.0,0.2,0.2,0.23389416512694028,0.9499616413105525,0.9500713821082121,0.00010974079765957434,2,2,1.3909698534688104,1.3947306696880546,0.0037608162192441785,0.0005096471648422107,0.00017353651210241097,True,True
eta_scaled_amp_profile,scaled_amp,4.0,0.39,0.39,0.4560936219975335,0.950571616683221,0.9507808613881964,0.0002092447049754087,2,2,1.4121146224319543,1.4195057297182097,0.007391107286255361,0.0009172754791800766,0.0023779593239990665,True,True
eta_scaled_amp_profile,scaled_amp,4.0,0.5800000000000001,0.5800000000000001,0.6782930788681268,0.9511690984351115,0.9514733756139429,0.00030427717883130256,2,2,1.4334108638302216,1.4444866533889953,0.011075789558773641,0.00697678638676012,0.012369139560953837,True,True
eta_scaled_amp_profile,scaled_amp,4.0,0.77,0.77,0.90049253573872,0.9517543419230916,0.9521493301141655,0.00039498819107386396,2,2,1.4548558292020022,1.4696689952865254,0.01481316608452321,0.018807262483995283,0.030336055651461937,True,True
eta_scaled_amp_profile,scaled_amp,4.0,0.96,0.96,1.1226919926093133,0.9523275980310238,0.9528091218874052,0.00048152385638133843,2,2,1.4764466989349914,1.4950481783704381,0.018601479435446766,0.036525611112857646,0.0564634763221165,True,True
eta_scaled_amp_profile,scaled_amp,4.0,1.15,1.15,1.3448914494799065,0.9528891132077972,0.9534531396875849,0.0005640264797877048,2,2,1.4981805837846593,1.520619497388482,0.022438913603822552,0.06024641895185332,0.09093164468906258,True,True
eta_scaled_amp_profile,scaled_amp,4.0,1.34,1.34,1.5670909063504999,0.9534391295071385,0.9540817641138938,0.0006426346067552879,2,2,1.5200545264631065,1.546378122467691,0.02632359600458445,0.09008180827675469,0.13391596710728965,True,True
eta_scaled_amp_profile,scaled_amp,4.0,1.53,1.53,1.789290363221093,0.9539778846290824,0.9546953677046294,0.0007174830755469763,2,2,1.5420655032963912,1.5723191028763246,0.030253599579933343,0.1261412951678561,0.18558670760063356,True,True
eta_scaled_amp_profile,scaled_amp,4.0,1.72,1.72,2.011489820091686,0.9545056119629647,0.9552943150346368,0.0007887030716721144,2,2,1.5642104259482772,1.5984373709501858,0.03422694500190859,0.16853164993821662,0.24610868868513547,True,True
eta_scaled_amp_profile,scaled_amp,4.0,1.91,1.91,2.2336892769622794,0.9550225406318269,0.9558789628159938,0.0008564221841669273,2,2,1.5864861432083497,1.6247277461766312,0.038241602968281496,0.21735676005453214,0.3156409993851776,True,True
