D,level,rel_S1_vs_fine,rel_DeltaE12_vs_fine,rel_eta_amp_vs_fine,rel_eta_prob_vs_fine
6.0,coarse,0.0003196940645924732,0.0020991818911541035,0.00021987751043113835,0.0004397066747426757
6.0,mid,0.002605427897973374,0.0005294435705126682,0.010844446711200583,0.021806495446873204
6.0,fine,0.0,0.0,0.0,0.0
12.0,coarse,0.0006300447269431788,0.00585548048460354,0.0,0.0
12.0,mid,0.0001550494270248882,0.0014782551712914497,0.0,0.0
12.0,fine,0.0,0.0,0.0,0.0
18.0,coarse,0.000730549248004852,0.009662345607944337,0.00011477215281365537,0.00022955747827428527
18.0,mid,0.00099560289478636,0.0024423509490063135,0.010458985040471241,0.0210273604490194
18.0,fine,0.0,0.0,0.0,0.0
