D,level,Nz,zmax,E1,E2,DeltaE12,S1,A_split,omega1,omega2,eta_amp,eta_prob
4.0,fine,8001,80.0,-0.5050527899604221,-0.3900972960954422,0.11495549386497994,2.9235629320852086,2.13903051645084,0.7035248467819583,0.7809626776642773,1.1694708256347013,1.36766201201071
5.0,fine,8001,80.0,-0.4873675878292349,-0.4326184741685237,0.05474911366071117,3.603308588888996,2.010361365267434,0.7159835278627331,0.7532473204940567,1.0991236205289756,1.2080727332047236
6.0,fine,8001,80.0,-0.4794374275180444,-0.45294840099174416,0.026489026526300252,4.2815845049986905,1.9166134104467458,0.721500223480184,0.7396293659720765,1.047868859419898,1.0980291465419578
7.0,fine,8001,80.0,-0.476340921005037,-0.46342458054596875,0.012916340459068254,4.978414976402545,1.8760207465490242,0.7236429223000547,0.7325130848346884,1.025675657500578,1.0520105543892433
8.0,fine,8001,80.0,-0.475562053017093,-0.4692386181949072,0.006323434822185781,5.680402024647233,1.8531915052329997,0.7241808800174905,0.72853372043104,1.0131942405758847,1.0265625691361437
9.0,fine,8001,80.0,-0.4758263322484381,-0.4727234393791026,0.0031028928693355162,6.385546857447112,1.8406641148190905,0.7239983893293975,0.7261381140119952,1.0063451481960757,1.0127305572977816
10.0,fine,8001,80.0,-0.47650805348539144,-0.47498316095827714,0.0015248925271142966,7.092334101043687,1.8340062021946941,0.7235274331458404,0.7245804572590424,1.0027050717623949,1.0054174609380295
11.0,fine,8001,80.0,-0.47731310003093336,-0.47656286568791995,0.0007502343430134117,7.799786108783319,1.8306318232941832,0.7229708845929181,0.7234895536993469,1.0008601996820599,1.0017211393076126
12.0,fine,8001,80.0,-0.4781115780400631,-0.47774214229939793,0.0003694357406651694,8.507335077563498,1.8290584677817285,0.7224184535018031,0.7226741019993743,1.0,1.0
13.0,fine,8001,80.0,-0.47885218960482334,-0.47867013640839906,0.00018205319642428108,9.214680542091067,1.8284505542508076,0.7219056797083513,0.7220317607914495,0.9996676358128354,0.9993353820916236
14.0,fine,8001,80.0,-0.4795197351056214,-0.47942996604832155,8.976905729984885e-05,9.921681378443264,1.828344957640519,0.721443182027787,0.7215053942637425,0.9996099030436819,0.9992199582629991
15.0,fine,8001,80.0,-0.48011460444339893,-0.4800703163785478,4.4288064851127906e-05,10.628285367108806,1.8284891658698974,0.721030786829939,0.7210614978082328,0.9996887459193573,0.9993775887178173
16.0,fine,8001,80.0,-0.4806431713987175,-0.4806213114648926,2.185993382486373e-05,11.334486880761675,1.8287483632038606,0.7206641579829557,0.7206793243427394,0.9998304567167587,0.9996609421784424
17.0,fine,8001,80.0,-0.48111347069050814,-0.4811026765295795,1.079416092863994e-05,12.040302833865445,1.829051651068487,0.7203377883392568,0.720345280730304,0.9999962731026036,0.9999925462190971
18.0,fine,8001,80.0,-0.48153337700574683,-0.48152804504454294,5.3319612038915665e-06,12.745759620617829,1.829363676917577,0.720046264481841,0.7200499669852483,1.0001668668012667,1.0003337614470627
19.0,fine,8001,80.0,-0.4819099360235781,-0.4819073013532337,2.6346703444479758e-06,13.450886346989776,1.8296667688011539,0.7197847344702595,0.7197865646473032,1.000332576038514,1.0006652626838495
20.0,fine,8001,80.0,-0.48224920366359203,-0.48224790141723367,1.3022463583589605e-06,14.155711535384235,1.8299556263018149,0.7195490228861463,0.7195499277901196,1.0004905029204312,1.0009812464339773
