D,eta_amp,eta_prob
4.0,1.1694708256347013,1.36766201201071
5.0,1.0991236205289756,1.2080727332047236
6.0,1.047868859419898,1.0980291465419578
7.0,1.025675657500578,1.0520105543892433
8.0,1.0131942405758847,1.0265625691361435
9.0,1.0063451481960757,1.0127305572977816
10.0,1.0027050717623949,1.0054174609380295
11.0,1.00086019968206,1.0017211393076126
12.0,1.0,1.0
13.0,0.9996676358128354,0.9993353820916236
14.0,0.999609903043682,0.9992199582629993
15.0,0.9996887459193572,0.9993775887178172
16.0,0.9998304567167589,0.9996609421784424
17.0,0.9999962731026036,0.9999925462190972
18.0,1.0001668668012669,1.0003337614470629
19.0,1.000332576038514,1.0006652626838497
20.0,1.0004905029204312,1.0009812464339771
