run,D,source,max_E_rel_error,median_E_rel_error,max_abs_corr_offdiag,max_strong_residual_l2_over_rms_u,E0_ritz,E1_ritz,E2_ritz,E0_ref,E1_ref,E2_ref
v2_parametric_D6_18_K3_augmented_1800,6.0,,0.004117604477649657,0.0031042916790376763,0.00482499785721302,0.09313561767339706,0.7432156205177307,0.7439664006233215,0.9477523565292358,0.7409156023783983,0.7409156032179508,0.9457220845247472
v2_parametric_D6_18_K3_augmented_1800,7.5,,0.0028152937872736295,0.0027850372629157514,0.01333782821893692,0.09005476534366608,0.7514079213142395,0.7516558170318604,0.9671392440795898,0.7495682407609748,0.7495682415480508,0.9644241068831847
v2_parametric_D6_18_K3_augmented_1800,9.0,,0.003523998162259143,0.0026482147115666215,0.006848675198853016,0.10232478380203247,0.7619235515594482,0.7624636292457581,0.9911816716194153,0.7604497940860961,0.7604497949114657,0.9877010150574912
v2_parametric_D6_18_K3_augmented_1800,10.5,,0.002907467168932341,0.0027758561595737498,0.013499174267053604,0.10176914930343628,0.7757740616798401,0.7759251594543457,1.0188939571380615,0.7737772640821676,0.7737772650669714,1.0159401445222627
v2_parametric_D6_18_K3_augmented_1800,12.0,,0.004839619191337353,0.0030799588630282928,0.009734446182847023,0.112176813185215,0.7916216850280762,0.7922703623771667,1.0547635555267334,0.7898376933975528,0.7898376947688097,1.04968348717736
v2_parametric_D6_18_K3_augmented_1800,13.5,,0.014712075063069381,0.0028903843397034023,0.02447052299976349,0.1141517236828804,0.8108786940574646,0.8113440871238708,1.1056830883026123,0.8090057472547818,0.8090057495745705,1.0896520456148988
v2_parametric_D6_18_K3_augmented_1800,15.0,,0.016792426448687583,0.004124086047726954,0.006294769700616598,0.09993322938680649,0.8336408734321594,0.8351976871490479,1.0759769678115845,0.8317674016733059,0.831767406791744,1.058207102869175
v2_parametric_D6_18_K3_augmented_1800,16.5,,0.004074009279675074,0.0039959478203102595,0.021134579554200172,0.1169082298874855,0.8607831597328186,0.8622508645057678,0.9919067025184631,0.8587522825493039,0.8587522996679782,0.9879588704236376
v2_parametric_D6_18_K3_augmented_1800,18.0,,0.005314707979605118,0.002754387076269306,0.006438750308007002,0.1397850215435028,0.8932316899299622,0.8955125212669373,0.9324135780334473,0.8907781421274631,0.8907782947557399,0.9298699505138035
v2_parametric_D6_18_K3_augmented_continue_1200,6.0,,0.0032030798018785637,0.0021982944138894908,0.004084091167896986,0.08846857398748398,0.7425443530082703,0.7432888150215149,0.9474197030067444,0.7409156023783983,0.7409156032179508,0.9457220845247472
v2_parametric_D6_18_K3_augmented_continue_1200,7.5,,0.002074140649698137,0.0019774257129972087,0.009410170838236809,0.08312664926052094,0.7509819269180298,0.7511229515075684,0.9663311839103699,0.7495682407609748,0.7495682415480508,0.9644241068831847
v2_parametric_D6_18_K3_augmented_continue_1200,9.0,,0.0028859509196190987,0.0020856758846572363,0.008006059564650059,0.09144151210784912,0.7616827487945557,0.7620358467102051,0.9905514717102051,0.7604497940860961,0.7604497949114657,0.9877010150574912
v2_parametric_D6_18_K3_augmented_continue_1200,10.5,,0.002682880532179751,0.002107460322599526,0.010481798090040684,0.09770034998655319,0.7753209471702576,0.7754079699516296,1.0186657905578613,0.7737772640821676,0.7737772650669714,1.0159401445222627
v2_parametric_D6_18_K3_augmented_continue_1200,12.0,,0.003579140274705065,0.002465678471392014,0.015537549741566181,0.1075085923075676,0.7912448048591614,0.7917851805686951,1.0534404516220093,0.7898376933975528,0.7898376947688097,1.04968348717736
v2_parametric_D6_18_K3_augmented_continue_1200,13.5,,0.01323045401267693,0.0022384954041179766,0.02606721594929695,0.10935263335704803,0.8106762170791626,0.8108167052268982,1.104068636894226,0.8090057472547818,0.8090057495745705,1.0896520456148988
v2_parametric_D6_18_K3_augmented_continue_1200,15.0,,0.014833067862324861,0.003777967130449857,0.005679055117070675,0.09289328008890152,0.833294689655304,0.8349097967147827,1.0739035606384277,0.8317674016733059,0.831767406791744,1.058207102869175
v2_parametric_D6_18_K3_augmented_continue_1200,16.5,,0.003364793990760661,0.0027806984858962996,0.022913657128810883,0.11014632880687714,0.8601925373077393,0.8616418242454529,0.9907060861587524,0.8587522825493039,0.8587522996679782,0.9879588704236376
v2_parametric_D6_18_K3_augmented_continue_1200,18.0,,0.004697034110404584,0.0029444318101673026,0.008619104512035847,0.13115395605564117,0.8928051590919495,0.8949623107910156,0.932607889175415,0.8907781421274631,0.8907782947557399,0.9298699505138035
v2_parametric_D6_18_K3_augmented_ref800_1200,6.0,,0.0023038401092528352,0.0017589364230368718,0.006675012409687042,0.08056232333183289,0.7418030500411987,0.7426225543022156,0.9473855495452881,0.7409156023783983,0.7409156032179508,0.9457220845247472
v2_parametric_D6_18_K3_augmented_ref800_1200,7.5,,0.0017431840832315023,0.0012629789372625019,0.012718766927719116,0.07564252614974976,0.750166118144989,0.7508748769760132,0.9656421542167664,0.7495682407609748,0.7495682415480508,0.9644241068831847
v2_parametric_D6_18_K3_augmented_ref800_1200,9.0,,0.002002352345256522,0.0013028086973685448,0.007840478792786598,0.08266125619411469,0.7613741755485535,0.7614405155181885,0.9896787405014038,0.7604497940860961,0.7604497949114657,0.9877010150574912
v2_parametric_D6_18_K3_augmented_ref800_1200,10.5,,0.0023539796216167884,0.0015883500834190146,0.006680041551589966,0.09590213000774384,0.7747270464897156,0.7750062942504883,1.0183316469192505,0.7737772640821676,0.7737772650669714,1.0159401445222627
v2_parametric_D6_18_K3_augmented_ref800_1200,12.0,,0.002049734961587935,0.001667944070902199,0.026438551023602486,0.10877883434295654,0.7909272909164429,0.7911550998687744,1.051835060119629,0.7898376933975528,0.7898376947688097,1.04968348717736
v2_parametric_D6_18_K3_augmented_ref800_1200,13.5,,0.009271222984566256,0.002031980407910252,0.02717103250324726,0.11681222170591354,0.8099216818809509,0.8106496334075928,1.0997544527053833,0.8090057472547818,0.8090057495745705,1.0896520456148988
v2_parametric_D6_18_K3_augmented_ref800_1200,15.0,,0.010927868945815338,0.0033758815725115987,0.00822980422526598,0.08653964102268219,0.8329906463623047,0.834575355052948,1.0697710514068604,0.8317674016733059,0.831767406791744,1.058207102869175
v2_parametric_D6_18_K3_augmented_ref800_1200,16.5,,0.0026262189379775073,0.001948973950115589,0.023951895534992218,0.10023052990436554,0.8595083951950073,0.861007571220398,0.9898843765258789,0.8587522825493039,0.8587522996679782,0.9879588704236376
v2_parametric_D6_18_K3_augmented_ref800_1200,18.0,,0.0034523185525161307,0.0028832163297347483,0.010343560017645359,0.12294558435678482,0.8923182487487793,0.8938535451889038,0.9325509667396545,0.8907781421274631,0.8907782947557399,0.9298699505138035
v2_parametric_D6_18_K3_augmented_final_800,6.0,,0.0020029672831282847,0.0017936634954069163,0.00774028105661273,0.08076917380094528,0.7413694262504578,0.7423996329307556,0.9474183917045593,0.7409156023783983,0.7409156032179508,0.9457220845247472
v2_parametric_D6_18_K3_augmented_final_800,7.5,,0.0016061734719816198,0.0012262059414526274,0.01399502344429493,0.07382310926914215,0.7497708201408386,0.7507721781730652,0.965606689453125,0.7495682407609748,0.7495682415480508,0.9644241068831847
v2_parametric_D6_18_K3_augmented_final_800,9.0,,0.0015115514160603163,0.0010970591612619353,0.0049635376781225204,0.08011248707771301,0.7609335780143738,0.7612840533256531,0.9891939759254456,0.7604497940860961,0.7604497949114657,0.9877010150574912
v2_parametric_D6_18_K3_augmented_final_800,10.5,,0.002050658589221049,0.0014090995230134574,0.01317698322236538,0.09415856748819351,0.7743549942970276,0.774867594242096,1.0180234909057617,0.7737772640821676,0.7737772650669714,1.0159401445222627
v2_parametric_D6_18_K3_augmented_final_800,12.0,,0.001763319263980346,0.001269944711505426,0.028039075434207916,0.11268019676208496,0.7907713055610657,0.790840744972229,1.0515344142913818,0.7898376933975528,0.7898376947688097,1.04968348717736
v2_parametric_D6_18_K3_augmented_final_800,13.5,,0.006430072672324361,0.001789511320318521,0.022914016619324684,0.12340289354324341,0.8094791769981384,0.810453474521637,1.0966585874557495,0.8090057472547818,0.8090057495745705,1.0896520456148988
v2_parametric_D6_18_K3_augmented_final_800,15.0,,0.008462251664166347,0.0030078346244504874,0.008161774836480618,0.08321501314640045,0.8330040574073792,0.8342692255973816,1.0671619176864624,0.8317674016733059,0.831767406791744,1.058207102869175
v2_parametric_D6_18_K3_augmented_final_800,16.5,,0.0023449759989795428,0.0018894874861463606,0.02011984959244728,0.09297212958335876,0.8592213988304138,0.8607660531997681,0.9898256063461304,0.8587522825493039,0.8587522996679782,0.9879588704236376
v2_parametric_D6_18_K3_augmented_final_800,18.0,,0.0029017584186430954,0.0026254062121434042,0.009013960137963295,0.11810890585184097,0.8919662833213806,0.8933631181716919,0.9323112368583679,0.8907781421274631,0.8907782947557399,0.9298699505138035
