run,D,modes,n_s,n_z,steps,base_mode,parity_heads,select_best,selected_checkpoint_step,max_E_rel_error,median_E_rel_error,max_abs_corr_offdiag,max_strong_residual_l2_over_rms_u,E0_ritz,E1_ritz,E2_ritz,E0_ref,E1_ref,E2_ref
v2_fixed_D12_K3_smoke,12.0,3,32,96,1200,polynomial,False,False,,0.00901659397964288,0.005544930475168995,0.004183048848062754,0.1445906013250351,0.7942172884941101,0.7969593405723572,1.052079200744629,0.7898376933975528,0.7898376947688097,1.04968348717736
v2_fixed_D12_K3_tight_2400,12.0,3,32,96,2400,polynomial,False,False,,0.06262529220290813,0.044331075629630116,0.37183818221092224,0.3136852979660034,0.8022984862327576,0.8248520493507385,1.1154202222824097,0.7898376933975528,0.7898376947688097,1.04968348717736
v2_fixed_D12_K3_lr8e4_2200,12.0,3,32,96,2200,polynomial,False,False,,0.010650398706783595,0.0038692429911438763,0.0019488483667373657,0.154428631067276,0.7928937673568726,0.7982497811317444,1.05185067653656,0.7898376933975528,0.7898376947688097,1.04968348717736
v2_fixed_D12_K3_grid48x128_1600,12.0,3,48,128,1600,polynomial,False,False,,0.01855356118527162,0.005502168429974417,0.004254451021552086,0.20121227204799652,0.7930524945259094,0.8044919967651367,1.0554590225219727,0.7898376933975528,0.7898376947688097,1.04968348717736
v2_fixed_D12_K3_parity_lobes_1600,12.0,3,32,96,1600,two-lobe,True,False,,0.4221500162109644,0.2954023381824277,0.29339829087257385,0.8718962073326111,0.8781710267066956,1.0231575965881348,1.492807388305664,0.7898376933975528,0.7898376947688097,1.04968348717736
v2_fixed_D12_K3_best_2400,12.0,3,32,96,2400,polynomial,False,True,2400,0.0032164740016609743,0.0016393447940955428,0.0028881728649139404,0.09308497607707977,0.7911325097084045,0.7923781871795654,1.0508538484573364,0.7898376933975528,0.7898376947688097,1.04968348717736
