run,D,modes,n_s,n_z,steps,base_mode,select_best,selected_checkpoint_step,max_E_rel_error,median_E_rel_error,max_abs_corr_offdiag,max_strong_residual_l2_over_rms_u,E0_ritz,E1_ritz,E2_ritz,E0_ref,E1_ref,E2_ref
v2_fixed_D6_K3_best_2400,6.0,3,32,96,2400,polynomial,True,2400,0.0026875906777025795,0.002065555266744568,0.004339870996773243,0.04477989301085472,0.7389243245124817,0.7424460053443909,0.9466491341590881,0.7409156023783983,0.7409156032179508,0.9457220845247472
v2_fixed_D12_K3_best_2400,12.0,3,32,96,2400,polynomial,True,2400,0.0032164740016609743,0.0016393447940955428,0.0028881728649139404,0.09308497607707977,0.7911325097084045,0.7923781871795654,1.0508538484573364,0.7898376933975528,0.7898376947688097,1.04968348717736
v2_fixed_D18_K3_best_2400,18.0,3,32,96,2400,polynomial,True,2400,0.002524837510268423,0.0021264084980331588,0.0028065997175872326,0.11696715652942657,0.8926723003387451,0.8930273652076721,0.9301497936248779,0.8907781421274631,0.8907782947557399,0.9298699505138035
