D,E0_selfadjoint,omega0_selfadjoint,E1_selfadjoint,omega1_selfadjoint,K_asym_rel,n_negative_selfadjoint,k,legacy_status,reference_run
6,0.7409156023783983,1.319437608368959,0.7409156032179508,1.319437608687107,0.0,0,8,legacy_compared,v0p5p1_selfadjoint_D6_n50x500
9,0.7604497940860961,1.3268194278371477,0.7604497949114657,1.3268194281481809,0.0,0,4,skipped,v1_selfadjoint_D9_n50x500_k4
12,0.7898376933975528,1.3378481578256753,0.7898376947688097,1.3378481583381612,0.0,0,8,legacy_compared,v0p5p1_selfadjoint_D12_n50x500
15,0.8317674016733059,1.3534280186523795,0.831767406791744,1.3534280205432958,0.0,0,4,skipped,v1_selfadjoint_D15_n50x500_k4
18,0.8907781421274631,1.3750556869187018,0.8907782947557399,1.3750557424176446,0.0,0,8,legacy_compared,v0p5p1_selfadjoint_D18_n50x500
