D,max_abs_corr_offdiag,max_strong_residual_l2_over_rms_u,gram_ok,residual_ok,E0_ritz,omega0_ritz,residual0_l2_over_rms_u,E1_ritz,omega1_ritz,residual1_l2_over_rms_u,E2_ritz,omega2_ritz,residual2_l2_over_rms_u,suspicious_reasons,suspicious
7.5,0.5173826217651367,0.4282739460468292,False,False,0.7570174932479858,1.325525364996078,0.06816913187503815,0.8693528175354004,1.3672427792953965,0.4282739460468292,1.0628128051757812,1.4362495622891522,0.19374513626098633,gram;residual,True
9.0,0.6583037376403809,0.7002540230751038,False,False,0.7758446931838989,1.3326082294447603,0.10916096717119217,1.1480969190597534,1.4656387409794247,0.580935001373291,1.633636236190796,1.6228481864274291,0.7002540230751038,gram;residual,True
10.5,0.4742213487625122,0.9946380853652954,False,False,0.7904021739959717,1.3380591070636498,0.11042074114084244,1.1698293685913086,1.4730340690531596,0.5554697513580322,1.5108904838562012,1.584578961067009,0.9946380853652954,gram;residual,True
13.5,0.13015376031398773,0.5471174120903015,False,False,0.8231663703918457,1.3502467812929033,0.11807703226804733,0.9289171099662781,1.3888546036091316,0.3855806291103363,1.235235571861267,1.4950704237129657,0.5471174120903015,gram;residual,True
15.0,0.09439577907323837,0.707396924495697,False,False,0.8447682857513428,1.3582224728487386,0.1316736340522766,0.9286385774612427,1.388754325811892,0.28956738114356995,1.4316792488098145,1.5593842530979383,0.707396924495697,gram;residual,True
16.5,0.3043610155582428,0.5848687887191772,False,False,0.8725082278251648,1.3683962247189827,0.10072386264801025,0.8882073760032654,1.3741205827740393,0.16528141498565674,1.3153660297393799,1.5216326855517333,0.5848687887191772,gram;residual,True
