D,max_abs_corr_offdiag,max_strong_residual_l2_over_rms_u,gram_ok,residual_ok,E0_ritz,omega0_ritz,residual0_l2_over_rms_u,E1_ritz,omega1_ritz,residual1_l2_over_rms_u,E2_ritz,omega2_ritz,residual2_l2_over_rms_u,suspicious_reasons,suspicious
6.0,0.00774028105661273,0.08076917380094528,True,True,0.7413694262504578,1.319609573415735,0.057469889521598816,0.7423996329307556,1.3199998609586123,0.07239007204771042,0.9474183917045593,1.3954993341827717,0.08076917380094528,,False
6.25,0.002085335087031126,0.07822082191705704,True,True,0.7426090836524963,1.3200791959774596,0.05590270087122917,0.7435373663902283,1.3204307503198447,0.07249539345502853,0.9500102400779724,1.3964276709081542,0.07822082191705704,,False
6.5,0.004736390896141529,0.07607130706310272,True,True,0.743952751159668,1.3205880323400132,0.05402135103940964,0.7448079586029053,1.3209117906215029,0.07365873456001282,0.9527893662452698,1.3974224007955753,0.07607130706310272,,False
6.75,0.009116020984947681,0.07493805885314941,True,True,0.745346188545227,1.3211155091608102,0.05198314040899277,0.7461974024772644,1.32143762716114,0.07493805885314941,0.9557467103004456,1.3984801429768123,0.07442471385002136,,False
7.0,0.012127149850130081,0.07544489949941635,True,True,0.7467710375785828,1.3216546589705582,0.050321612507104874,0.7476747035980225,1.3219964839582676,0.07544489949941635,0.9588741064071655,1.3995978373829983,0.07344023138284683,,False
7.25,0.013743344694375992,0.07487336546182632,True,True,0.7482383251190186,1.3222096373567311,0.0491231344640255,0.7492059469223022,1.3225754976266202,0.07487336546182632,0.9621641635894775,1.4007727023287817,0.07324475795030594,,False
7.5,0.01399502344429493,0.07382310926914215,True,True,0.7497708201408386,1.3227890308514199,0.04849616438150406,0.7507721781730652,1.3231674792606811,0.0732518881559372,0.965606689453125,1.4020009591484326,0.07382310926914215,,False
7.75,0.012965808622539043,0.07495865970849991,True,True,0.7513949871063232,1.3234028060671186,0.048885904252529144,0.7523748278617859,1.3237729517790375,0.07088229060173035,0.96919184923172,1.403278963439458,0.07495865970849991,,False
8.0,0.010790196247398853,0.07626540958881378,True,True,0.7531298398971558,1.324058095363325,0.05053098872303963,0.7540251612663269,1.3243961496721164,0.06827771663665771,0.9729132056236267,1.4046042879130145,0.07626540958881378,,False
8.25,0.007651074789464474,0.07744020968675613,True,True,0.7549727559089661,1.3247538472897393,0.05271757021546364,0.7557351589202881,1.3250415687518216,0.0659429058432579,0.9767702221870422,1.405976607980034,0.07744020968675613,,False
8.5,0.0037818157579749823,0.07845494896173477,True,True,0.7569020390510559,1.3254818139269418,0.05427937209606171,0.7575109004974365,1.325711469550383,0.0642242506146431,0.9807686805725098,1.407397840190367,0.07845494896173477,,False
8.75,0.001352552673779428,0.07933349162340164,True,True,0.7588948607444763,1.326233335708493,0.05434495583176613,0.7593550086021423,1.326406803587098,0.06346040964126587,0.9849109649658203,1.4088686826549237,0.07933349162340164,,False
9.0,0.0049635376781225204,0.08011248707771301,True,True,0.7609335780143738,1.3270017249477764,0.05226387456059456,0.7612840533256531,1.3271337737114721,0.06448359787464142,0.9891939759254456,1.4103878813735764,0.08011248707771301,,False
9.25,0.009135403670370579,0.08101015537977219,True,True,0.7630111575126648,1.3277843038357793,0.0490630678832531,0.7633267641067505,1.32790314560466,0.06712876260280609,0.9936203956604004,1.4119562300795305,0.08101015537977219,,False
9.5,0.01265537366271019,0.08238579332828522,True,True,0.7651413679122925,1.3285862290089765,0.04825467988848686,0.7654840350151062,1.3287151820518595,0.06925634294748306,0.9981976747512817,1.4135762005464303,0.08238579332828522,,False
9.75,0.015133162029087543,0.08448489010334015,True,True,0.7673402428627014,1.3294134958178743,0.05049297958612442,0.7677325010299683,1.3295610181672628,0.07013881206512451,1.002933144569397,1.4152502056418848,0.08448489010334015,,False
10.0,0.016214953735470772,0.0872892215847969,True,True,0.7696081399917603,1.3302661914037206,0.05420847609639168,0.7700515389442444,1.3304328389453728,0.06982944905757904,1.0078256130218506,1.4169776332115658,0.0872892215847969,,False
