D,max_abs_corr_offdiag,max_strong_residual_l2_over_rms_u,gram_ok,residual_ok,E0_ritz,omega0_ritz,residual0_l2_over_rms_u,E1_ritz,omega1_ritz,residual1_l2_over_rms_u,E2_ritz,omega2_ritz,residual2_l2_over_rms_u,suspicious_reasons,suspicious
7.5,0.01399502344429493,0.07382310926914215,True,True,0.7497708201408386,1.3227890308514199,0.04849616438150406,0.7507721781730652,1.3231674792606811,0.0732518881559372,0.965606689453125,1.4020009591484326,0.07382310926914215,,False
9.0,0.0049635376781225204,0.08011248707771301,True,True,0.7609335780143738,1.3270017249477764,0.05226387456059456,0.7612840533256531,1.3271337737114721,0.06448359787464142,0.9891939759254456,1.4103878813735764,0.08011248707771301,,False
10.5,0.01317698322236538,0.09415856748819351,True,True,0.7743549942970276,1.3320491711258364,0.0609213151037693,0.774867594242096,1.3322415675252353,0.06755359470844269,1.0180234909057617,1.4205715367082932,0.09415856748819351,,False
13.5,0.022914016619324684,0.12340289354324341,True,True,0.8094791769981384,1.3451688284368393,0.07309873402118683,0.810453474521637,1.3455309266314308,0.07696835696697235,1.0966585874557495,1.4479843187879313,0.12340289354324341,,False
15.0,0.008161774836480618,0.08321501314640045,True,True,0.8330040574073792,1.353884802118474,0.08241662383079529,0.8342692255973816,1.3543519578002543,0.06960693001747131,1.0671619176864624,1.437762816909125,0.08321501314640045,,False
16.5,0.02011984959244728,0.09297212958335876,True,True,0.8592213988304138,1.3635326907817114,0.05696014314889908,0.8607660531997681,1.3640989895164384,0.09297212958335876,0.9898256063461304,1.4106117844205508,0.061764996498823166,,False
