D,E_artifact,S_adapter,S_ref,S_abs_error,S_rel_error,n_turning_adapter,n_turning_ref,status,z_left,z_right
6.0,-0.24101647798178133,10.652281967305871,10.652281967305871,0.0,0.0,4,4,CANONICAL_NEGATIVE_BOUND_BARRIER,-2.8749583194398145,2.862954318106034
8.0,-0.46425885523950094,13.145511435471697,13.145511435471697,0.0,0.0,4,4,CANONICAL_NEGATIVE_BOUND_BARRIER,-3.8712904301433806,3.859286428809604
10.0,-0.562102042077581,15.447245035408937,15.44724503540894,3.552713678800501e-15,2.2999011607939117e-16,4,4,CANONICAL_NEGATIVE_BOUND_BARRIER,-4.8676225408469485,4.85561853951317
12.0,-0.9205263084737675,18.85039260368807,18.850392603688075,3.552713678800501e-15,1.8846894881676966e-16,4,4,CANONICAL_NEGATIVE_BOUND_BARRIER,-5.861953984661554,5.8486162054018
14.0,-0.4148507832469811,18.520737055262515,18.520737055262515,0.0,0.0,4,4,CANONICAL_NEGATIVE_BOUND_BARRIER,-6.858952984328109,6.844281427142381
16.0,-0.21053940592836176,18.81368554745908,18.81368554745908,0.0,0.0,4,4,CANONICAL_NEGATIVE_BOUND_BARRIER,-7.866622207402468,7.8506168722907645
18.0,-0.07239888153241779,18.97205427525827,18.972054275258273,3.552713678800501e-15,1.8726035816973418e-16,4,4,CANONICAL_NEGATIVE_BOUND_BARRIER,-8.868956318772923,8.851617205735245
20.0,-0.3388510660320452,22.794346641952178,22.794346641952178,0.0,0.0,4,4,CANONICAL_NEGATIVE_BOUND_BARRIER,-9.868622874291429,9.849949983327782
