D,mode,E_ritz,omega_ritz,S_adapter,r_eta1,n_turning,status,z_left,z_right,component_width,U_center_minus_E,source_spectral_suspicious
6.0,0,0.7413694262504578,1.319609573415735,8.837923933811147,2.1060894281727756e-08,6,CENTRAL_BARRIER,-2.8509503167722574,2.8509503167722556,5.701900633544513,1.0308531312407097,False
6.0,1,0.7423996329307556,1.3199998609586123,8.835797674557243,2.1150646826374017e-08,6,CENTRAL_BARRIER,-2.8509503167722574,2.8509503167722556,5.701900633544513,1.0298229245604118,False
6.0,2,0.9474183917045593,1.3954993341827717,8.397046595535475,5.086487698974598e-08,6,CENTRAL_BARRIER,-2.8509503167722574,2.8509503167722556,5.701900633544513,0.8248041657866081,False
6.25,0,0.7426090836524963,1.3200791959774596,8.971856445450552,1.611181648647846e-08,6,CENTRAL_BARRIER,-2.9829943314438143,2.9829943314438125,5.965988662887627,0.9421775411590372,False
6.25,1,0.7435373663902283,1.3204307503198447,8.969768651128184,1.6179233459264212e-08,6,CENTRAL_BARRIER,-2.9829943314438143,2.9829943314438125,5.965988662887627,0.9412492584213052,False
6.25,2,0.9500102400779724,1.3964276709081542,8.468404658975269,4.4099856081784384e-08,6,CENTRAL_BARRIER,-2.9709903301100375,2.9709903301100375,5.941980660220075,0.7347763847335611,False
6.5,0,0.743952751159668,1.3205880323400132,9.080603854223904,1.2962468305986831e-08,6,CENTRAL_BARRIER,-3.1030343447815945,3.1030343447815945,6.206068689563189,0.8613185817197173,False
6.5,1,0.7448079586029053,1.3209117906215029,9.078536320642689,1.301617995713178e-08,6,CENTRAL_BARRIER,-3.1030343447815945,3.1030343447815945,6.206068689563189,0.86046337427648,False
6.5,2,0.9527893662452698,1.3974224007955753,8.553012349702183,3.7234700571462285e-08,6,CENTRAL_BARRIER,-3.1030343447815945,3.1030343447815945,6.206068689563189,0.6524819666341155,False
6.75,0,0.745346188545227,1.3211155091608102,9.176469972755338,1.070087904076234e-08,6,CENTRAL_BARRIER,-3.223074358119373,3.223074358119373,6.446148716238746,0.7873263192079354,False
6.75,1,0.7461974024772644,1.32143762716114,9.174254805167433,1.0748392694578694e-08,6,CENTRAL_BARRIER,-3.223074358119373,3.223074358119373,6.446148716238746,0.786475105275898,False
6.75,2,0.9557467103004456,1.3984801429768123,8.601664762443113,3.3782276871718855e-08,6,CENTRAL_BARRIER,-3.223074358119373,3.223074358119373,6.446148716238746,0.5769257974527169,False
7.0,0,0.7467710375785828,1.3216546589705582,9.285592188765179,8.602746041268652e-09,6,CENTRAL_BARRIER,-3.3551183727909315,3.3551183727909297,6.710236745581861,0.7193748964388613,False
7.0,1,0.7476747035980225,1.3219964839582676,9.283050233869432,8.646592988624611e-09,6,CENTRAL_BARRIER,-3.3551183727909315,3.3551183727909297,6.710236745581861,0.7184712304194216,False
7.0,2,0.9588741064071655,1.3995978373829983,8.655523438578763,3.033247618429512e-08,6,CENTRAL_BARRIER,-3.3551183727909315,3.3551183727909297,6.710236745581861,0.5072718276102786,False
7.25,0,0.7482383251190186,1.3222096373567311,9.366838655137226,7.3125242344986705e-09,6,CENTRAL_BARRIER,-3.47515838612871,3.475158386128708,6.950316772257418,0.6567388124049558,False
7.25,1,0.7492059469223022,1.3225754976266202,9.363919775740367,7.355337833295811e-09,6,CENTRAL_BARRIER,-3.47515838612871,3.475158386128708,6.950316772257418,0.6557711906016721,False
7.25,2,0.9621641635894775,1.4007727023287817,8.681751093720372,2.8782387343788075e-08,6,CENTRAL_BARRIER,-3.47515838612871,3.475158386128708,6.950316772257418,0.4428129739344968,False
7.5,0,0.7497708201408386,1.3227890308514199,9.436005946767668,6.367799378486063e-09,6,CENTRAL_BARRIER,-3.59519839946649,3.59519839946649,7.19039679893298,0.5987868785083663,False
7.5,1,0.7507721781730652,1.3231674792606811,9.432765800621963,6.4091985742793666e-09,6,CENTRAL_BARRIER,-3.59519839946649,3.59519839946649,7.19039679893298,0.5977855204761398,False
7.5,2,0.965606689453125,1.4020009591484326,8.689491475234481,2.8340245204831443e-08,6,CENTRAL_BARRIER,-3.59519839946649,3.59519839946649,7.19039679893298,0.38295100919607994,False
7.75,0,0.7513949871063232,1.3234028060671186,9.52080583818758,5.3744388070452395e-09,6,CENTRAL_BARRIER,-3.727242414138047,3.727242414138047,7.454484828276094,0.5449715332611407,False
7.75,1,0.7523748278617859,1.3237729517790375,9.517394708329602,5.4112299811888286e-09,6,CENTRAL_BARRIER,-3.727242414138047,3.727242414138047,7.454484828276094,0.543991692505678,False
7.75,2,0.96919184923172,1.403278963439458,8.703829745193007,2.7539087153906364e-08,6,CENTRAL_BARRIER,-3.727242414138047,3.727242414138047,7.454484828276094,0.32717467113574394,False
8.0,0,0.7531298398971558,1.324058095363325,9.574330683247236,4.828831294880812e-09,6,CENTRAL_BARRIER,-3.8472824274758253,3.8472824274758253,7.6945648549516505,0.49482505257467335,False
8.0,1,0.7540251612663269,1.3243961496721164,9.570993547488113,4.861168018054941e-09,6,CENTRAL_BARRIER,-3.8472824274758253,3.8472824274758253,7.6945648549516505,0.4939297312055022,False
8.0,2,0.9729132056236267,1.4046042879130145,8.683521650609045,2.8680645880783743e-08,6,CENTRAL_BARRIER,-3.8472824274758253,3.8472824274758253,7.6945648549516505,0.2750416868482024,False
8.25,0,0.7549727559089661,1.3247538472897393,9.636070356054141,4.267913750560813e-09,6,CENTRAL_BARRIER,-3.979326442147382,3.979326442147382,7.958652884294764,0.4479617349290388,False
8.25,1,0.7557351589202881,1.3250415687518216,9.633008735872204,4.294127386600305e-09,6,CENTRAL_BARRIER,-3.979326442147382,3.979326442147382,7.958652884294764,0.44719933191771677,False
8.25,2,0.9767702221870422,1.405976607980034,8.642327136341883,3.1143687127530194e-08,6,CENTRAL_BARRIER,-3.9673224408136054,3.9673224408136036,7.934644881627209,0.22616426865096262,False
8.5,0,0.7569020390510559,1.3254818139269418,9.674998558776092,3.94823529921676e-09,6,CENTRAL_BARRIER,-4.099366455485162,4.0993664554851605,8.198732910970323,0.4040656263323348,False
8.5,1,0.7575109004974365,1.325711469550383,9.672388823632419,3.968896870370152e-09,6,CENTRAL_BARRIER,-4.099366455485162,4.0993664554851605,8.198732910970323,0.40345676488595417,False
8.5,2,0.9807686805725098,1.407397840190367,8.605765769903194,3.3506327350819193e-08,6,CENTRAL_BARRIER,-4.099366455485162,4.0993664554851605,8.198732910970323,0.18019898481088092,False
8.75,0,0.7588948607444763,1.326233335708493,9.699586809422033,3.7587716609182885e-09,6,CENTRAL_BARRIER,-4.219406468822941,4.219406468822939,8.43881293764588,0.3628646662895849,False
8.75,1,0.7593550086021423,1.326406803587098,9.697474930662626,3.774681376720867e-09,6,CENTRAL_BARRIER,-4.219406468822941,4.219406468822939,8.43881293764588,0.3624045184319189,False
8.75,2,0.9849109649658203,1.4088686826549237,8.524160650891343,3.9446468904584473e-08,6,CENTRAL_BARRIER,-4.219406468822941,4.219406468822939,8.43881293764588,0.13684856206824092,False
9.0,0,0.7609335780143738,1.3270017249477764,9.736407729470349,3.4919152852066186e-09,6,CENTRAL_BARRIER,-4.351450483494499,4.351450483494499,8.702900966988999,0.32411788143104237,False
9.0,1,0.7612840533256531,1.3271337737114721,9.734679100754395,3.504008628132244e-09,6,CENTRAL_BARRIER,-4.351450483494499,4.351450483494499,8.702900966988999,0.32376740611976307,False
9.0,2,0.9891939759254456,1.4103878813735764,8.432467345538571,4.738620468166206e-08,6,CENTRAL_BARRIER,-4.351450483494499,4.351450483494499,8.702900966988999,0.09585748351997059,False
9.25,0,0.7630111575126648,1.3277843038357793,9.743739907855195,3.441082221683867e-09,6,CENTRAL_BARRIER,-4.471490496832278,4.471490496832278,8.942980993664555,0.28760460957083867,False
9.25,1,0.7633267641067505,1.32790314560466,9.742071727108842,3.452582089091548e-09,6,CENTRAL_BARRIER,-4.471490496832278,4.471490496832278,8.942980993664555,0.28728900297675297,False
9.25,2,0.9936203956604004,1.4119562300795305,8.289185592314828,6.311097295673738e-08,6,CENTRAL_BARRIER,-4.471490496832278,4.471490496832278,8.942980993664555,0.05699537142310307,False
9.5,0,0.7651413679122925,1.3285862290089765,9.737080648548142,3.4872188933802422e-09,6,CENTRAL_BARRIER,-4.591530510170058,4.591530510170056,9.183061020340114,0.2531098677968311,False
9.5,1,0.7654840350151062,1.3287151820518595,9.735135781804157,3.500809660585149e-09,6,CENTRAL_BARRIER,-4.591530510170058,4.591530510170056,9.183061020340114,0.25276720069401737,False
