D,E_selfadjoint_ref,E_pinn,E_abs_error,E_rel_error,strong_residual_l2_over_rms_u,strong_residual_median_abs_over_rms_u,device,selected_device,K_asym_rel,n_negative_selfadjoint,pinn_run,reference_run
6,0.7409156023783983,0.7410645484924316,0.00014894611403337699,0.00020102979820542052,0.017344441264867783,0.002028482733294368,cpu,cpu,0.0,0,v0p5p1_pinn_D6_3000,v0p5p1_selfadjoint_D6_n50x500
9,0.7604497940860961,0.760593056678772,0.0001432625926758302,0.00018839191461416895,0.017381930723786354,0.001963535090908408,cpu,cpu,0.0,0,v1_anchor_D9_3000,v1_selfadjoint_D9_n50x500_k4
12,0.7898376933975528,0.7899821996688843,0.000144506271331446,0.00018295691955373794,0.018360549584031105,0.0027615725994110107,cpu,cpu,0.0,0,v0p5p1_pinn_D12_3000,v0p5p1_selfadjoint_D12_n50x500
15,0.8317674016733059,0.8319042921066284,0.00013689043332254514,0.00016457778105652635,0.020536502823233604,0.0010177436051890254,cpu,cpu,0.0,0,v1_anchor_D15_3000,v1_selfadjoint_D15_n50x500_k4
18,0.8907781421274631,0.8908920884132385,0.00011394628577543475,0.00012791769396507035,0.02067447267472744,0.0021495723631232977,cpu,cpu,0.0,0,v0p5p1_pinn_D18_3000,v0p5p1_selfadjoint_D18_n50x500
