seed,D,max_abs_corr_offdiag,max_strong_residual_l2_over_rms_u,gram_ok,residual_ok,E0_ritz,omega0_ritz,residual0_l2_over_rms_u,E1_ritz,omega1_ritz,residual1_l2_over_rms_u,E2_ritz,omega2_ritz,residual2_l2_over_rms_u
101,6.75,0.012761523015797138,0.07395906746387482,True,True,0.7438713908195496,1.320557227392872,0.06576146185398102,0.7462475895881653,1.3214566166122008,0.06360747665166855,0.9519273042678833,1.397113919574164,0.07395906746387482
101,8.25,0.011824834160506725,0.07665716856718063,True,True,0.7534254193305969,1.3241697094143925,0.06325358152389526,0.7558349370956421,1.3250792191773448,0.05637769028544426,0.972228467464447,1.4043605190493098,0.07665716856718063
101,9.75,0.010293853469192982,0.08341944217681885,True,True,0.7656057476997375,1.3287609821558344,0.06879322975873947,0.7678440809249878,1.329602978683858,0.05321380868554115,0.9973640441894531,1.4132813039835534,0.08341944217681885
101,11.25,0.010235725902020931,0.10325367748737335,True,True,0.7804070711135864,1.3343189540411942,0.0758863165974617,0.7828503847122192,1.3352342059399989,0.058501098304986954,1.0276892185211182,1.4239695286490923,0.10325367748737335
101,12.75,0.036334242671728134,0.1163075715303421,True,True,0.7986855506896973,1.3411508307008937,0.08037634938955307,0.8001734614372253,1.3417054302033757,0.06624463945627213,1.065347671508789,1.4371317516180586,0.1163075715303421
101,14.25,0.04637814313173294,0.10660135000944138,True,True,0.819978654384613,1.349065845088598,0.08402904868125916,0.8225322365760803,1.3500119394198262,0.0653146430850029,1.1037613153457642,1.4504348711147854,0.10660135000944138
101,15.75,0.017437629401683807,0.08129921555519104,True,True,0.845116913318634,1.358350806426173,0.0673796609044075,0.8465306758880615,1.3588711034855592,0.08129921555519104,1.0247859954833984,1.4229497515665823,0.06622303277254105
101,17.25,0.01112777553498745,0.10171383619308472,True,True,0.8741049766540527,1.3689795384351269,0.05326501652598381,0.8764920234680176,1.3698510953632945,0.10171383619308472,0.959148645401001,1.3996959117611942,0.06936398893594742
202,6.75,0.010099105536937714,0.07521755248308182,True,True,0.7450152039527893,1.3209902361307555,0.054716017097234726,0.7460291385650635,1.3213739586373963,0.07521755248308182,0.9554114937782288,1.3983602875433172,0.07428028434515
202,8.25,0.009712420403957367,0.07729913294315338,True,True,0.7546955943107605,1.3246492344431262,0.05452996864914894,0.7557704448699951,1.325054883719914,0.06658328324556351,0.9753192663192749,1.4054605175241583,0.07729913294315338
202,9.75,0.011779002845287323,0.08413983881473541,True,True,0.767020583152771,1.3292932645405118,0.06309544295072556,0.7679513096809387,1.3296433016718954,0.06106642633676529,1.000282645225525,1.4143134890205653,0.08413983881473541
202,11.25,0.008959172293543816,0.10416148602962494,True,True,0.7818776965141296,1.3348699174504344,0.07666780054569244,0.7832150459289551,1.3353707522366045,0.0592089481651783,1.0310184955596924,1.425138061929332,0.10416148602962494
202,12.75,0.03530411794781685,0.1177225261926651,True,True,0.8001054525375366,1.3416800857646864,0.08268953859806061,0.8008726239204407,1.3419659548291234,0.06505239754915237,1.0680487155914307,1.4380711789029883,0.1177225261926651
202,14.25,0.047449950128793716,0.11188561469316483,True,True,0.8213461637496948,1.3495725855802254,0.08611440658569336,0.8245537281036377,1.3507604258726407,0.0643637627363205,1.1064130067825317,1.4513486854586433,0.11188561469316483
202,15.75,0.016796303912997246,0.07789238542318344,True,True,0.8468161821365356,1.3589761521588728,0.0745750144124031,0.8486966490745544,1.3596678451278292,0.07789238542318344,1.0246212482452393,1.4228918610510215,0.06768503785133362
202,17.25,0.011223838664591312,0.10102059692144394,True,True,0.8759581446647644,1.3696562140423283,0.06026595085859299,0.8785775899887085,1.370612122370406,0.10102059692144394,0.9592759609222412,1.3997413907298166,0.06912121921777725
303,6.75,0.009041222743690014,0.07453710585832596,True,True,0.7440407872200012,1.3206213640631448,0.052784234285354614,0.747066855430603,1.321766566164617,0.07453710585832596,0.9556736350059509,1.3984540160498489,0.07379568368196487
303,8.25,0.007693926803767681,0.0768919587135315,True,True,0.7536674737930298,1.3242611048403672,0.049491580575704575,0.7567961812019348,1.325441881487806,0.06994632631540298,0.9770090579986572,1.4060615413269282,0.0768919587135315
303,9.75,0.015111464075744152,0.08369365334510803,True,True,0.7656682729721069,1.3287845096072226,0.04896656423807144,0.7691928148269653,1.3301100762068399,0.07234447449445724,1.0032309293746948,1.4153554074417827,0.08369365334510803
303,11.25,0.006819340866059065,0.10210084915161133,True,True,0.7804765105247498,1.3343449743318816,0.054448604583740234,0.7840269207954407,1.3356747062048606,0.07884153723716736,1.034270167350769,1.4262784326178284,0.10210084915161133
303,12.75,0.030644332990050316,0.1161220595240593,True,True,0.7976986765861511,1.340782859595897,0.0581975020468235,0.8022201061248779,1.342467916236689,0.08635371923446655,1.071215271949768,1.4391717312224306,0.1161220595240593
303,14.25,0.04958301782608032,0.10582958906888962,True,True,0.8203378319740295,1.3491989593733125,0.07086407393217087,0.8236925601959229,1.350441616729847,0.07894844561815262,1.1046299934387207,1.4507342945690367,0.10582958906888962
303,15.75,0.020322931930422783,0.07526784390211105,True,True,0.8437837362289429,1.3578599840296284,0.07491091638803482,0.8490686416625977,1.359804633637714,0.07526784390211105,1.0223997831344604,1.4221110305227438,0.06578952819108963
303,17.25,0.014650540426373482,0.08116558194160461,True,True,0.8733977675437927,1.3687212161517015,0.080959253013134,0.8785460591316223,1.370600619849423,0.08116558194160461,0.9578495025634766,1.3992317544150707,0.06939693540334702
404,6.75,0.005784496199339628,0.07440876960754395,True,True,0.7421728372573853,1.3199139507018574,0.05377950519323349,0.7453241944313049,1.3211071850653546,0.07440876960754395,0.9533422589302063,1.3976202126937798,0.07403859496116638
404,8.25,0.005591536872088909,0.07659532874822617,True,True,0.751675546169281,1.323508800941377,0.048834603279829025,0.7547775506973267,1.3246801692096575,0.06971924006938934,0.9730125069618225,1.4046396359785034,0.07659532874822617
404,9.75,0.019234852865338326,0.08330550789833069,True,True,0.7635838985443115,1.3279999618013216,0.04831864684820175,0.7672041654586792,1.3293623153447216,0.0728708952665329,0.9976774454116821,1.4133921767901796,0.08330550789833069
404,11.25,0.00977306067943573,0.10323165357112885,True,True,0.7783019542694092,1.3335298850304815,0.05403615161776543,0.7819549441337585,1.3348988516489775,0.07947061955928802,1.0278377532958984,1.4240216828742105,0.10323165357112885
